keep_code,drop_code
BQNI_BV0518,BQNI_BV0113
NCT_BV0517,NCT_BV0469
BBN_BV0516,BBN_BV0014
BBN_BV0515,BBN_BV0015
NCT_BV0514,NCT_BV0306
BĐB_BV0018,BĐB_BV0513
BHP_BV0512,BHP_BV0026
BBN_BV0511,BBN_BV0013
THT_BV0055,THT_BV0505
THT_BV0061,THT_BV0504
THT_BV0067,THT_BV0503
THT_BV0069,THT_BV0502
BLS_BV0499,BLS_BV0093
BQNI_BV0115,BQNI_BV0498
BQNI_BV0116,BQNI_BV0497
BQNI_BV0118,BQNI_BV0496
BQNI_BV0119,BQNI_BV0495
BQNI_BV0121,BQNI_BV0494
BQNI_BV0123,BQNI_BV0493
BQNI_BV0124,BQNI_BV0492
BQNI_BV0127,BQNI_BV0491
BQNI_BV0128,BQNI_BV0490
BQNI_BV0129,BQNI_BV0489
BQNI_BV0133,BQNI_BV0488
BSL_BV0487,BSL_BV0137
BTNG_BV0143,BTNG_BV0486
BTNG_BV0145,BTNG_BV0485
BTNG_BV0146,BTNG_BV0484
BPT_BV0483,BPT_BV0150
BPT_BV0482,BPT_BV0151
TTH_TM0062,TTH_TM0583
TGL_TM0066,TGL_TM0582
TĐL_TM0540,TĐL_TM0581
NĐN_BV0266,NĐN_BV0476
NTN_BV0291,NTN_BV0475
THT_TM0572,THT_TM0257
BLCH_TM0534,BLCH_TM0571
BHN_TM0284,BHN_TM0265
BBN_TM0283,BBN_TM0207
